zipcode,num_fires_2017_2019,avg_acres,min_acres,avg_distance_m,min_distance_m
91105,3,2365.5699896216393,0.242691338062286,165283.83440494872,8602.851193271305
91106,3,2365.5699896216393,0.242691338062286,165719.1469540415,6304.328828646018
91107,2,22.679447323083878,0.242691338062286,166408.17686440938,3460.2165658597814
91202,4,5667.936743691564,0.242691338062286,164497.80898057375,8140.755125280786
91206,5,4543.372635614872,0.242691338062286,164897.4705248317,11274.043712186241
91302,15,6476.060639793178,0.025269888341427,169189.35202403192,3099.823183633226
91303,14,6969.1352602908655,0.009721163660288,166877.05026206357,8266.884567272917
91304,16,6075.3466830213,0.002820560941473,167570.41164475077,4910.778314498902
91306,15,6504.532002999882,0.009721163660288,166390.02018588484,9060.53832916232
91311,16,6470.680499221329,0.002820560941473,167664.96179554108,4122.676326709757
91316,9,12549.317310677634,0.027753792703152,165477.70328161,8102.06617535977
91321,8,3162.303703352809,0.086400926113129,168033.60524245672,4963.861323590763
91325,12,10029.239114164686,0.009721163660288,165679.70639344456,9769.33730629972
91331,6,3807.936561246713,0.086400926113129,165096.89138535917,8076.593292498682
91335,13,8702.027976489411,0.009721163660288,165802.9065312511,9823.329754788885
91342,5,4569.322528529167,0.086400926113129,166163.7343206815,3102.4842339653205
91344,12,10509.720911929384,0.009721163660288,166337.64749925834,3622.3986886135203
91350,8,3162.303703352809,0.086400926113129,170395.39552347368,9374.444304574869
91351,9,2811.9565152459672,0.086400926113129,170144.31972707243,11407.567353835066
91356,13,7500.577436664643,0.025269888341427,165985.65570939708,5422.165232273706
91360,21,4824.931801616669,0.002820560941473,176272.26238616309,3153.272309438034
91362,21,4824.932426813336,0.002820560941473,173669.98100620875,3914.991754651705
91364,17,5736.011965346687,0.009721163660288,166893.01605886506,3447.65229116108
91367,18,5420.507920810745,0.009721163660288,167223.77669833341,6273.111681896243
91377,27,3762.0434689760914,0.002820560941473,171715.87583002812,1102.1984168700221
91387,6,3783.09066905578,0.086400926113129,168737.1561049076,8963.14540671493
91402,6,3840.6351747314134,0.086400926113129,164873.90386752837,11941.708523505178
91405,6,3840.8453135589757,0.912746846675873,164740.63156107516,10875.580391852667
91406,10,12017.815382342786,0.070163242518902,165127.16860600925,11617.335416599333
91411,6,3840.995892783006,1.006724834442139,164768.19324086254,9372.717637211437
91423,6,3840.995892783006,1.006724834442139,164569.77153909724,5834.957580171357
